institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
University of Illinois at Chicago,Clinical Ph.D.,1007 West Harrison Street Rm 1018D | Behavioral Sciences Building | m/C 285,"Chicago, IL 60607","March 01, 1972",Accredited,Next site visit scheduled 2034
Northwestern University Feinberg School of Medicine,Clinical Ph.D.,,,,,
University of Illinois at Urbana- Champaign,Clinical Ph.D.,603 E. Daniel Street,"Champaign, IL 61820","February 01, 1948",Accredited,Next site visit scheduled 2023
Roosevelt University,Clinical Psy.D.,430 South Michigan Avenue,"Chicago, IL 60605","October 25, 2002",Accredited,Next site visit scheduled 2029
Indiana University - Indianapolis,Clinical Ph.D.,"IUI School of Science | 402 N. Blackford Street, LD124","Indianapolis, IN 46202-3275","December 06, 1996",Accredited,Next site visit scheduled 2028
Rosalind Franklin University of Medicine and Science,Clinical Ph.D.,,,,,
Indiana State University,Clinical Psy.D.,Indiana State University | Root Hall B-202,"Terre Haute, IN 47809-0001","June 21, 1985",Accredited,Next site visit scheduled 2023
University of Indianapolis,Clinical Psy.D.,1400 East Hanna Avenue,"Indianapolis, IN 46227-3697","June 15, 2000",Accredited,Next site visit scheduled 2024
University of Notre Dame,Clinical Ph.D.,390 Corbett Family Hall | Department of Psychology | University of Notre Dame,"Notre Dame, IN 46556","April 15, 2011",Accredited,Next site visit scheduled 2035
Southern Illinois University Carbondale,Clinical Ph.D.,"1125 Lincoln Drive, Mail Code 6502","Carbondale, IL 62901","December 01, 1961",Accredited,Next site visit scheduled 2029
Purdue University,Clinical Ph.D.,703 Third Street,"West Lafayette, IN 47907-2081","February 26, 1948",Accredited,Next site visit scheduled 2028
Indiana University - Bloomington,Clinical Ph.D.,1101 E. 10th Street,"Bloomington, IN 47405-7007","February 01, 1948",Accredited,Next site visit scheduled 2023
"Withdrawn, effective August 16, 2024 Wheaton College",Clinical Psy.D.,501 College Ave,"Wheaton, IL 60187-5593","May 01, 1998",Accredited,Next site visit scheduled 2022
University of Iowa,Clinical Ph.D.,Clinical Psychology Ph.D. Program | 11 Seashore Hall E | 301 East Jefferson Street,"Iowa City, IA 52242-1407","February 07, 1948",Accredited,Next site visit scheduled 2027
University of Louisville,Clinical Ph.D.,,"Louisville, KY 40292","January 19, 1973",Accredited,Next site visit scheduled 2023
Wichita State University,Clinical Ph.D.,Department of Psychology | 1845 Fairmount Box 34,"Wichita, KS 67260-0034","March 04, 2005",Accredited,
Spalding University,Clinical Psy.D.,School of Professional Psychology | 845 South Third Street,"Louisville, KY 40203","June 20, 1989",Accredited,Next site visit scheduled 2027
Eastern Kentucky University,Clinical Psy.D.,521 Lancaster Ave | 127 Cammack,"Richmond, KY 40475","April 15, 2018",Accredited,Next site visit scheduled 2029
Western Kentucky University,Clinical Psy.D.,1906 College Heights Blvd #21030,"Bowling Green, KY 42101","November 8, 2024","Accredited, on contingency",Next site visit scheduled 2027
University of Kansas,Clinical Ph.D.,"1415 Jayhawk Boulevard, Fraser Hall","Lawrence, KS 66045-7556","January 09, 1949",Accredited,Next site visit scheduled 2034
University of Kentucky,Clinical Ph.D.,125 Kastle Hall,"Lexington, KY 40506-0044","April 01, 1970",Accredited,Next site visit scheduled 2032
University of Kansas,Clinical Ph.D.,Clinical Child Psychology Training Program | 2015 Dole Human Development Center | 1000 Sunnyside Avenue,"Lawrence, KS 66045","July 24, 2001",Accredited,Next site visit scheduled 2035
"Professional Psychology, New Orleans)",Clinical Psy.D.,"1 Drexel Drive, Box 200","New Orleans, LA 70125","July 21, 2019",Accredited – Inactive,Next site visit scheduled 2033
Louisiana State University,Clinical Ph.D.,236 Audubon Hall,"Baton Rouge, LA 70803","February 24, 1956",Accredited,Next site visit scheduled 2028
University of Maryland - College Park,Clinical Ph.D.,Department of Psychology | 1123L Biology-Psychology Building | 4094 Campus Drive,"College Park, MD 20742-4411","October 01, 1963",Accredited,Next site visit scheduled 2035
